epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.599,0.99704,9.56518,0.69338,0.85035,1.36286,0.94836,0.92685,0.97876,0.78745,0.38847,0.23092,0.12249,0.02201,0.80665,7.01767,0.5352,0.47674,1.17073,0.00333043,0.00333043,0.00333043
2,288.587,0.89111,7.1558,0.64162,0.63081,1.26152,0.94802,0.9227,0.96825,0.76766,0.83312,0.47317,0.48933,0.19986,0.87236,5.0387,0.42322,0.53786,1.24594,0.0065978,0.0065978,0.0065978
3,413.866,0.93575,6.38078,0.58613,0.6857,1.28354,0.8953,0.88658,0.94481,0.7159,0.82915,0.50529,0.51635,0.26342,0.95294,4.74832,0.32017,0.62088,1.30719,0.00979916,0.00979916,0.00979916
4,538.251,0.96726,6.04874,0.51053,0.7055,1.2964,0.93123,0.91454,0.96813,0.74852,0.50972,0.39085,0.24181,0.11912,0.90783,5.28249,0.20277,0.57552,1.27825,0.009703,0.009703,0.009703
5,660.947,0.92403,5.54686,0.45402,0.65508,1.25913,0.93225,0.93055,0.97068,0.7738,0.7521,0.5541,0.51092,0.27485,0.82478,4.20545,0.16018,0.52698,1.19842,0.009604,0.009604,0.009604
6,785.575,0.88795,5.16677,0.41925,0.61196,1.23365,0.94784,0.94028,0.97835,0.79511,0.80354,0.64632,0.64934,0.43448,0.78299,3.45552,0.13792,0.4457,1.16274,0.009505,0.009505,0.009505
7,910.011,0.86058,4.98051,0.39921,0.5924,1.21918,0.9572,0.94341,0.98103,0.80711,0.7513,0.61514,0.58352,0.38099,0.77098,3.67708,0.11559,0.43325,1.14471,0.009406,0.009406,0.009406
8,1034.11,0.8378,4.7846,0.3866,0.56849,1.20221,0.95259,0.95055,0.9816,0.81891,0.7593,0.64037,0.602,0.39368,0.74489,3.44406,0.09158,0.41318,1.12696,0.009307,0.009307,0.009307
9,1158.14,0.82653,4.67888,0.37792,0.55946,1.1969,0.95822,0.96228,0.98685,0.83661,0.80283,0.693,0.71194,0.49189,0.70547,3.07647,0.09774,0.37001,1.09687,0.009208,0.009208,0.009208
10,1282.9,0.80924,4.52883,0.3665,0.54685,1.18323,0.95229,0.95127,0.9801,0.80443,0.78338,0.65923,0.61702,0.42073,0.77183,3.26314,0.08552,0.43305,1.13211,0.009109,0.009109,0.009109
11,1406.39,0.79596,4.40873,0.35732,0.53343,1.17287,0.95826,0.96557,0.98707,0.83905,0.81052,0.70893,0.70834,0.49087,0.68291,2.9411,0.08142,0.37309,1.076,0.00901,0.00901,0.00901
12,1530.17,0.78462,4.30446,0.35242,0.5208,1.1696,0.96041,0.9582,0.98714,0.83795,0.79628,0.69836,0.67956,0.46927,0.67744,3.00665,0.07566,0.37376,1.06602,0.008911,0.008911,0.008911
13,1654.17,0.77404,4.2075,0.34863,0.51635,1.16547,0.96113,0.95798,0.98661,0.84132,0.8251,0.74067,0.74622,0.5252,0.67536,2.76881,0.07404,0.37258,1.07236,0.008812,0.008812,0.008812
14,1778.36,0.77762,4.20709,0.33703,0.51214,1.16267,0.95958,0.95917,0.98616,0.84382,0.83942,0.74372,0.7613,0.54635,0.67134,2.67885,0.07301,0.36921,1.06347,0.008713,0.008713,0.008713
15,1901.88,0.7606,4.12629,0.3377,0.502,1.15473,0.96307,0.96597,0.98783,0.85473,0.82414,0.74283,0.74921,0.5522,0.64586,2.68744,0.08159,0.35753,1.05084,0.008614,0.008614,0.008614
16,2026.21,0.75088,3.99652,0.32948,0.48859,1.1467,0.96297,0.97031,0.98898,0.85696,0.84919,0.74181,0.78037,0.58011,0.64472,2.56462,0.07225,0.3399,1.04453,0.008515,0.008515,0.008515
17,2150.14,0.74818,3.96891,0.32563,0.49069,1.14615,0.96801,0.96546,0.98873,0.85781,0.83741,0.76131,0.77112,0.5675,0.62782,2.57297,0.06808,0.34215,1.03363,0.008416,0.008416,0.008416
18,2274.24,0.7473,3.90938,0.31994,0.48686,1.14326,0.96665,0.97145,0.98971,0.86129,0.83522,0.77851,0.79382,0.60341,0.62614,2.40481,0.06639,0.33562,1.03717,0.008317,0.008317,0.008317
19,2398.51,0.73854,3.83829,0.31712,0.48033,1.1398,0.96886,0.97153,0.98922,0.861,0.84754,0.77647,0.78567,0.6037,0.62049,2.34297,0.0618,0.32646,1.02643,0.008218,0.008218,0.008218
